COUNTRY;Government_Type;Corruption_preception;;;;;;;;;
Sudan;Presidential republic;Highly corrupt;;;;;;;;;
Suriname;Parlamentary republic;Highly corrupt;;;;;;;;;
Sweden;Constitutional monarchy;Less corrupt;;;;;;;;;
Switzerland;Parlamentary republic;Less corrupt;;;;;;;;;
Syrian Arab Republic;Semipresidential republic;Highly corrupt;;;;;;;;;
Tajikistan;Presidential republic;Highly corrupt;;;;;;;;;
Tanzania;Presidential republic;Highly corrupt;;;;;;;;;
Thailand;Constitutional monarchy;Highly corrupt;;;;;;;;;
Timor-Leste;Semipresidential republic;Highly corrupt;;;;;;;;;
Togo;Presidential republic;Highly corrupt;;;;;;;;;
Tonga;Constitutional monarchy;NI;;;;;;;;;
Trinidad and Tobago;Parlamentary republic;Highly corrupt;;;;;;;;;
Tunisia;Semipresidential republic;Highly corrupt;;;;;;;;;
Turkey;Presidential republic;Highly corrupt;;;;;;;;;
Turkmenistan;Presidential republic;Highly corrupt;;;;;;;;;
Turks and Caicos Islands;Constitutional monarchy;NI;;;;;;;;;
Tuvalu;Constitutional monarchy;Highly corrupt;;;;;;;;;
Uganda;Presidential republic;Highly corrupt;;;;;;;;;
Ukraine;Semipresidential republic;Highly corrupt;;;;;;;;;
United Arab Emirates;Constitutional monarchy;Less corrupt;;;;;;;;;
United Kingdom;Constitutional monarchy;Less corrupt;;;;;;;;;
United States;Presidential republic;Less corrupt;;;;;;;;;
Uruguay;Presidential republic;Less corrupt;;;;;;;;;
Uzbekistan;Presidential republic;Highly corrupt;;;;;;;;;
Vanuatu;Parlamentary republic;Highly corrupt;;;;;;;;;
Venezuela, RB;Presidential republic;Highly corrupt;;;;;;;;;
Vietnam;Communist state;Highly corrupt;;;;;;;;;
Virgin Islands (U.S.);Presidential republic;Less corrupt;;;;;;;;;
West Bank and Gaza / Palestine;Semipresidential republic;NI;;;;;;;;;
Yemen, Rep.;In Transition (provisional government);Highly corrupt;;;;;;;;;
Zambia;Presidential republic;Highly corrupt;;;;;;;;;
Zimbabwe;Presidential republic;Highly corrupt;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
