,"2016","2016","2016"
,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)"
,"18+  years","18+  years","18+  years"
"Russian Federation","61.1 [56.5-65.6]","60.8 [54.5-67.4]","61.3 [54.9-67.6]"
"Rwanda","22.0 [18.4-25.8]","13.8 [9.5-18.7]","29.5 [24.1-35.3]"
"Saint Kitts and Nevis","52.7 [47.1-58.5]","45.1 [36.8-53.7]","60.1 [52.2-67.6]"
"Saint Lucia","48.3 [42.5-54.4]","39.3 [31.0-48.3]","56.8 [48.7-64.6]"
"Saint Vincent and the Grenadines","55.0 [49.5-60.5]","49.0 [40.5-57.3]","61.1 [53.7-68.4]"
"Samoa","75.1 [70.8-79.3]","70.6 [63.7-77.0]","79.9 [74.8-84.7]"
"San Marino","No data","No data","No data"
"Sao Tome and Principe","31.6 [27.0-36.4]","25.3 [19.1-32.0]","37.6 [31.1-44.4]"
"Saudi Arabia","69.0 [65.2-72.9]","68.3 [62.7-73.6]","70.2 [64.9-75.3]"
"Senegal","24.9 [21.1-28.9]","17.1 [12.3-22.6]","32.0 [26.3-38.0]"
"Serbia","60.7 [55.9-65.0]","66.7 [60.3-72.5]","55.0 [48.4-61.3]"
"Seychelles","38.1 [33.0-43.4]","29.9 [22.7-37.8]","46.7 [40.0-53.8]"
"Sierra Leone","24.9 [21.1-29.0]","17.4 [12.5-22.8]","32.3 [26.7-38.2]"
"Singapore","33.6 [29.3-37.8]","37.9 [31.5-44.7]","29.4 [24.0-35.0]"
"Slovakia","59.7 [54.9-64.4]","66.7 [59.8-73.1]","53.3 [46.2-59.9]"
"Slovenia","60.7 [55.4-65.7]","66.5 [58.9-73.4]","55.0 [47.5-62.3]"
"Solomon Islands","51.3 [45.7-57.1]","46.0 [37.7-54.5]","56.7 [48.6-64.7]"
"Somalia","24.7 [20.4-29.3]","17.8 [12.4-23.9]","31.5 [25.0-38.3]"
"South Africa","51.9 [47.9-56.0]","38.6 [32.7-44.8]","64.0 [58.5-69.3]"
"South Sudan","No data","No data","No data"
