,"2016","2016","2016"
,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)"
"Country","Both sexes","Male","Female"
"Nepal","3.8 [2.6-5.2]","2.5 [1.3-4.2]","4.8 [3.0-7.2]"
"Netherlands","23.1 [19.3-27.0]","22.7 [17.3-28.5]","23.4 [18.3-28.7]"
"New Zealand","32.0 [28.4-35.6]","31.0 [26.0-36.4]","32.9 [27.9-38.0]"
"Nicaragua","21.8 [17.3-26.7]","16.5 [10.5-23.6]","26.8 [20.3-33.8]"
"Niger","4.7 [3.2-6.7]","2.3 [1.0-4.2]","7.2 [4.5-10.7]"
"Nigeria","7.8 [5.9-9.9]","4.1 [2.4-6.4]","11.5 [8.2-15.2]"
"Niue","49.3 [43.1-55.2]","44.2 [35.1-53.4]","54.5 [46.3-62.6]"
"Norway","25.0 [20.9-29.2]","25.1 [19.4-31.3]","24.8 [19.4-30.5]"
"Oman","22.9 [18.3-27.9]","19.5 [13.6-26.1]","30.8 [23.5-38.2]"
"Pakistan","7.8 [5.7-10.3]","5.5 [3.2-8.7]","10.1 [6.8-14.3]"
"Palau","54.9 [48.8-60.7]","51.3 [42.3-59.9]","58.4 [49.6-66.5]"
"Panama","22.5 [18.0-27.4]","17.6 [11.9-24.4]","27.5 [20.6-34.8]"
"Papua New Guinea","19.4 [14.0-25.3]","15.2 [8.7-23.2]","23.7 [15.9-32.3]"
"Paraguay","19.0 [13.9-24.6]","16.1 [9.8-23.9]","21.9 [14.5-30.3]"
"Peru","19.1 [16.0-22.4]","14.7 [10.5-19.2]","23.5 [19.0-28.3]"
"Philippines","6.0 [4.3-8.1]","5.0 [2.8-7.9]","7.0 [4.5-10.3]"
"Poland","25.6 [21.9-29.5]","25.4 [20.2-30.9]","25.7 [20.6-31.1]"
"Portugal","23.2 [18.8-27.8]","22.1 [15.8-28.8]","24.2 [17.9-31.0]"
"Qatar","33.9 [27.7-40.5]","31.9 [24.4-39.8]","41.8 [33.6-49.8]"
"Republic of Korea","4.9 [3.8-6.2]","4.6 [3.1-6.5]","5.3 [3.7-7.3]"
"Republic of Moldova","20.1 [15.1-25.5]","16.9 [10.4-24.2]","23.0 [15.9-30.6]"
"North Macedonia","23.9 [18.4-29.6]","23.8 [15.9-32.4]","23.9 [16.5-32.2]"
"Romania","24.5 [20.0-29.3]","24.9 [18.6-31.9]","24.2 [18.0-31.0]"
"Russian Federation","25.7 [21.7-30.1]","19.4 [14.4-25.0]","30.8 [24.7-37.2]"
"Rwanda","4.8 [3.2-6.7]","1.6 [0.7-3.0]","7.7 [4.9-11.2]"
"Saint Kitts and Nevis","23.1 [17.7-29.1]","15.4 [9.4-23.0]","30.5 [22.1-39.5]"
"Saint Lucia","19.8 [14.9-25.1]","12.0 [6.9-18.5]","27.2 [19.4-35.4]"
"Saint Vincent and the Grenadines","23.8 [18.4-29.8]","16.7 [10.2-24.4]","31.0 [22.7-40.0]"
"Samoa","45.5 [39.8-51.5]","38.2 [29.8-47.1]","53.2 [45.3-60.9]"
"San Marino","No data","No data","No data"
"Sao Tome and Principe","10.6 [7.7-14.1]","6.3 [3.5-10.1]","14.8 [10.0-20.6]"
"Saudi Arabia","35.0 [30.5-39.5]","31.0 [25.1-37.2]","41.2 [34.6-47.6]"
"Senegal","7.4 [5.2-9.9]","3.3 [1.7-5.8]","11.0 [7.4-15.4]"
"Serbia","23.5 [19.1-28.1]","22.5 [16.6-28.8]","24.5 [18.1-31.2]"
"Seychelles","14.6 [11.0-18.6]","8.1 [4.5-13.0]","21.4 [15.5-28.1]"
"Sierra Leone","7.5 [5.3-10.1]","3.4 [1.7-5.8]","11.6 [7.7-16.2]"
"Singapore","6.6 [4.6-9.0]","6.2 [3.6-9.8]","7.0 [4.3-10.5]"
"Slovakia","22.4 [17.9-27.3]","22.5 [16.1-29.8]","22.3 [15.9-29.1]"
"Slovenia","22.5 [17.2-28.2]","21.4 [13.9-29.4]","23.6 [16.2-31.7]"
"Solomon Islands","20.5 [15.8-25.7]","16.3 [10.4-23.4]","24.7 [17.7-32.6]"
"Somalia","6.9 [4.5-9.8]","3.4 [1.5-6.3]","10.3 [6.1-15.6]"
"South Africa","27.0 [23.4-30.8]","14.5 [10.5-18.9]","38.5 [32.8-44.4]"
"South Sudan","No data","No data","No data"
"Spain","27.1 [23.2-31.1]","27.1 [21.4-33.0]","27.2 [21.7-32.7]"
"Sri Lanka","5.4 [3.7-7.7]","3.0 [1.5-5.2]","7.7 [4.8-11.5]"
"Sudan","No data","No data","No data"
"Sudan (former)","7.4 [4.9-10.5]","3.4 [1.6-6.1]","10.7 [6.7-16.3]"
"Suriname","26.5 [21.3-31.9]","19.0 [12.6-26.6]","33.9 [26.2-41.9]"
"Sweden","22.1 [18.3-26.0]","24.2 [18.6-30.1]","20.0 [14.9-25.4]"
"Switzerland","21.2 [17.3-25.3]","23.7 [18.1-29.8]","18.8 [13.4-24.8]"
"Syrian Arab Republic","25.8 [20.7-31.3]","19.3 [13.0-26.8]","32.4 [24.5-40.9]"
