Country,Year,Causes,Both sexes
China,2016,Cardiovascular diseases,4475660
China,2016,Chronic obstructive pulmonary disease,938227
Colombia,2016,Malignant neoplasms,56239
Colombia,2016,Diabetes mellitus,9732
Colombia,2016,Cardiovascular diseases,83987
Colombia,2016,Chronic obstructive pulmonary disease,18272
Comoros,2016,Malignant neoplasms,467
Comoros,2016,Diabetes mellitus,135
Comoros,2016,Cardiovascular diseases,989
Comoros,2016,Chronic obstructive pulmonary disease,128
Congo,2016,Malignant neoplasms,1814
Congo,2016,Diabetes mellitus,659
Congo,2016,Cardiovascular diseases,5516
Congo,2016,Chronic obstructive pulmonary disease,810
Costa Rica,2016,Malignant neoplasms,5774
Costa Rica,2016,Diabetes mellitus,916
Costa Rica,2016,Cardiovascular diseases,7227
Costa Rica,2016,Chronic obstructive pulmonary disease,1610
Côte d'Ivoire,2016,Malignant neoplasms,10442
Côte d'Ivoire,2016,Diabetes mellitus,5598
Côte d'Ivoire,2016,Cardiovascular diseases,42677
Côte d'Ivoire,2016,Chronic obstructive pulmonary disease,6501
Croatia,2016,Malignant neoplasms,14151
Croatia,2016,Diabetes mellitus,1904
Croatia,2016,Cardiovascular diseases,23084
Croatia,2016,Chronic obstructive pulmonary disease,2016
Cuba,2016,Malignant neoplasms,24510
Cuba,2016,Diabetes mellitus,2388
Cuba,2016,Cardiovascular diseases,35062
Cuba,2016,Chronic obstructive pulmonary disease,5563
Cyprus,2016,Malignant neoplasms,1929
Cyprus,2016,Diabetes mellitus,591
Cyprus,2016,Cardiovascular diseases,2825
Cyprus,2016,Chronic obstructive pulmonary disease,730
Czechia,2016,Malignant neoplasms,27725
Czechia,2016,Diabetes mellitus,3818
Czechia,2016,Cardiovascular diseases,47334
Czechia,2016,Chronic obstructive pulmonary disease,4680
Democratic People's Republic of Korea,2016,Malignant neoplasms,42483
Democratic People's Republic of Korea,2016,Diabetes mellitus,3182
Democratic People's Republic of Korea,2016,Cardiovascular diseases,88090
Democratic People's Republic of Korea,2016,Chronic obstructive pulmonary disease,31558
Democratic Republic of the Congo,2016,Malignant neoplasms,38769
Democratic Republic of the Congo,2016,Diabetes mellitus,7985
Democratic Republic of the Congo,2016,Cardiovascular diseases,76221
Democratic Republic of the Congo,2016,Chronic obstructive pulmonary disease,13680
Denmark,2016,Malignant neoplasms,16506
Denmark,2016,Diabetes mellitus,1485
Denmark,2016,Cardiovascular diseases,12484
Denmark,2016,Chronic obstructive pulmonary disease,4760
Djibouti,2016,Malignant neoplasms,549
Djibouti,2016,Diabetes mellitus,185
Djibouti,2016,Cardiovascular diseases,1395
Djibouti,2016,Chronic obstructive pulmonary disease,163
Dominican Republic,2016,Malignant neoplasms,10479
Dominican Republic,2016,Diabetes mellitus,2453
Dominican Republic,2016,Cardiovascular diseases,22897
Dominican Republic,2016,Chronic obstructive pulmonary disease,1699
Ecuador,2016,Malignant neoplasms,13973
Ecuador,2016,Diabetes mellitus,6507
Ecuador,2016,Cardiovascular diseases,19848
Ecuador,2016,Chronic obstructive pulmonary disease,4360
Egypt,2016,Malignant neoplasms,77673
Egypt,2016,Diabetes mellitus,17851
Egypt,2016,Cardiovascular diseases,245904
Egypt,2016,Chronic obstructive pulmonary disease,25909
El Salvador,2016,Malignant neoplasms,6605
El Salvador,2016,Diabetes mellitus,2270
El Salvador,2016,Cardiovascular diseases,9790
El Salvador,2016,Chronic obstructive pulmonary disease,1236
Equatorial Guinea,2016,Malignant neoplasms,475
Equatorial Guinea,2016,Diabetes mellitus,290
Equatorial Guinea,2016,Cardiovascular diseases,1496
Equatorial Guinea,2016,Chronic obstructive pulmonary disease,220
Eritrea,2016,Malignant neoplasms,2715
Eritrea,2016,Diabetes mellitus,865
