Country,Year,Causes,Both sexes
Slovakia,2016,Chronic obstructive pulmonary disease,1335
Slovenia,2016,Malignant neoplasms,6266
Slovenia,2016,Diabetes mellitus,340
Slovenia,2016,Cardiovascular diseases,7988
Slovenia,2016,Chronic obstructive pulmonary disease,742
Solomon Islands,2016,Malignant neoplasms,368
Solomon Islands,2016,Diabetes mellitus,206
Solomon Islands,2016,Cardiovascular diseases,804
Solomon Islands,2016,Chronic obstructive pulmonary disease,181
Somalia,2016,Malignant neoplasms,6028
Somalia,2016,Diabetes mellitus,1887
Somalia,2016,Cardiovascular diseases,15981
Somalia,2016,Chronic obstructive pulmonary disease,2296
South Africa,2016,Malignant neoplasms,50805
South Africa,2016,Diabetes mellitus,37228
South Africa,2016,Cardiovascular diseases,97559
South Africa,2016,Chronic obstructive pulmonary disease,23526
South Sudan,2016,Malignant neoplasms,8321
South Sudan,2016,Diabetes mellitus,1634
South Sudan,2016,Cardiovascular diseases,12205
South Sudan,2016,Chronic obstructive pulmonary disease,1823
Spain,2016,Malignant neoplasms,110013
Spain,2016,Diabetes mellitus,10074
Spain,2016,Cardiovascular diseases,118199
Spain,2016,Chronic obstructive pulmonary disease,43187
Sri Lanka,2016,Malignant neoplasms,20406
Sri Lanka,2016,Diabetes mellitus,12399
Sri Lanka,2016,Cardiovascular diseases,48601
Sri Lanka,2016,Chronic obstructive pulmonary disease,11831
Sudan,2016,Malignant neoplasms,17653
Sudan,2016,Diabetes mellitus,5774
Sudan,2016,Cardiovascular diseases,80311
Sudan,2016,Chronic obstructive pulmonary disease,8730
Suriname,2016,Malignant neoplasms,627
Suriname,2016,Diabetes mellitus,254
Suriname,2016,Cardiovascular diseases,1326
Suriname,2016,Chronic obstructive pulmonary disease,97
Sweden,2016,Malignant neoplasms,23324
Sweden,2016,Diabetes mellitus,2124
Sweden,2016,Cardiovascular diseases,31646
Sweden,2016,Chronic obstructive pulmonary disease,5214
Switzerland,2016,Malignant neoplasms,18188
Switzerland,2016,Diabetes mellitus,1381
Switzerland,2016,Cardiovascular diseases,21325
Switzerland,2016,Chronic obstructive pulmonary disease,3625
Syrian Arab Republic,2016,Malignant neoplasms,14195
Syrian Arab Republic,2016,Diabetes mellitus,1322
Syrian Arab Republic,2016,Cardiovascular diseases,37885
Syrian Arab Republic,2016,Chronic obstructive pulmonary disease,2742
Tajikistan,2016,Malignant neoplasms,4555
Tajikistan,2016,Diabetes mellitus,809
Tajikistan,2016,Cardiovascular diseases,19166
Tajikistan,2016,Chronic obstructive pulmonary disease,1775
Thailand,2016,Malignant neoplasms,94760
Thailand,2016,Diabetes mellitus,23929
Thailand,2016,Cardiovascular diseases,124722
Thailand,2016,Chronic obstructive pulmonary disease,30746
Timor-Leste,2016,Malignant neoplasms,838
Timor-Leste,2016,Diabetes mellitus,104
Timor-Leste,2016,Cardiovascular diseases,1318
Timor-Leste,2016,Chronic obstructive pulmonary disease,264
Togo,2016,Malignant neoplasms,3336
Togo,2016,Diabetes mellitus,992
Togo,2016,Cardiovascular diseases,10519
Togo,2016,Chronic obstructive pulmonary disease,1664
Tonga,2016,Malignant neoplasms,122
Tonga,2016,Diabetes mellitus,82
Tonga,2016,Cardiovascular diseases,155
Tonga,2016,Chronic obstructive pulmonary disease,39
Trinidad and Tobago,2016,Malignant neoplasms,1874
Trinidad and Tobago,2016,Diabetes mellitus,1860
Trinidad and Tobago,2016,Cardiovascular diseases,3945
Trinidad and Tobago,2016,Chronic obstructive pulmonary disease,405
Tunisia,2016,Malignant neoplasms,8323
Tunisia,2016,Diabetes mellitus,3523
Tunisia,2016,Cardiovascular diseases,31987
Tunisia,2016,Chronic obstructive pulmonary disease,3115
Turkey,2016,Malignant neoplasms,102561
Turkey,2016,Diabetes mellitus,21788
Turkey,2016,Cardiovascular diseases,156616
Turkey,2016,Chronic obstructive pulmonary disease,30282
Turkmenistan,2016,Malignant neoplasms,4528
Turkmenistan,2016,Diabetes mellitus,691
Turkmenistan,2016,Cardiovascular diseases,18449
Turkmenistan,2016,Chronic obstructive pulmonary disease,467
Uganda,2016,Malignant neoplasms,25573
Uganda,2016,Diabetes mellitus,4564
Uganda,2016,Cardiovascular diseases,29643
Uganda,2016,Chronic obstructive pulmonary disease,5447
Ukraine,2016,Malignant neoplasms,97076
Ukraine,2016,Diabetes mellitus,2546
Ukraine,2016,Cardiovascular diseases,402391
Ukraine,2016,Chronic obstructive pulmonary disease,13068
United Arab Emirates,2016,Malignant neoplasms,1803
United Arab Emirates,2016,Diabetes mellitus,707
United Arab Emirates,2016,Cardiovascular diseases,5970
United Arab Emirates,2016,Chronic obstructive pulmonary disease,825
United Kingdom of Great Britain and Northern Ireland,2016,Malignant neoplasms,168188
United Kingdom of Great Britain and Northern Ireland,2016,Diabetes mellitus,6553
United Kingdom of Great Britain and Northern Ireland,2016,Cardiovascular diseases,150442
United Kingdom of Great Britain and Northern Ireland,2016,Chronic obstructive pulmonary disease,50026
United Republic of Tanzania,2016,Malignant neoplasms,27207
United Republic of Tanzania,2016,Diabetes mellitus,6444
United Republic of Tanzania,2016,Cardiovascular diseases,51617
United Republic of Tanzania,2016,Chronic obstructive pulmonary disease,6997
United States of America,2016,Malignant neoplasms,627709
United States of America,2016,Diabetes mellitus,84332
United States of America,2016,Cardiovascular diseases,837250
United States of America,2016,Chronic obstructive pulmonary disease,246944
Uruguay,2016,Malignant neoplasms,8615
Uruguay,2016,Diabetes mellitus,934
Uruguay,2016,Cardiovascular diseases,9233
Uruguay,2016,Chronic obstructive pulmonary disease,2671
Uzbekistan,2016,Malignant neoplasms,13846
Uzbekistan,2016,Diabetes mellitus,5714
Uzbekistan,2016,Cardiovascular diseases,98917
Uzbekistan,2016,Chronic obstructive pulmonary disease,3554
Vanuatu,2016,Malignant neoplasms,200
Vanuatu,2016,Diabetes mellitus,79
Vanuatu,2016,Cardiovascular diseases,440
Vanuatu,2016,Chronic obstructive pulmonary disease,87
Venezuela (Bolivarian Republic of),2016,Malignant neoplasms,28570
Venezuela (Bolivarian Republic of),2016,Diabetes mellitus,14933
Venezuela (Bolivarian Republic of),2016,Cardiovascular diseases,54182
Venezuela (Bolivarian Republic of),2016,Chronic obstructive pulmonary disease,7212
Viet Nam,2016,Malignant neoplasms,102283
Viet Nam,2016,Diabetes mellitus,20754
Viet Nam,2016,Cardiovascular diseases,172313
Viet Nam,2016,Chronic obstructive pulmonary disease,30627
Yemen,2016,Malignant neoplasms,10454
Yemen,2016,Diabetes mellitus,3854
Yemen,2016,Cardiovascular diseases,56793
Yemen,2016,Chronic obstructive pulmonary disease,6395
Zambia,2016,Malignant neoplasms,8024
Zambia,2016,Diabetes mellitus,1475
Zambia,2016,Cardiovascular diseases,12483
Zambia,2016,Chronic obstructive pulmonary disease,1910
Zimbabwe,2016,Malignant neoplasms,8872
Zimbabwe,2016,Diabetes mellitus,3590
Zimbabwe,2016,Cardiovascular diseases,14184
Zimbabwe,2016,Chronic obstructive pulmonary disease,2970
